Organization,Address,Phone,URL,Description
"CHI Saint Joseph Health - Saint Joseph London","1001 Saint Joseph Lane, London, KY 40741","(606) 330-6000","www.CHISaintJosephHealth.org","150-bed regional hospital established in 1926, serving patients from Laurel, Clay, Jackson, Whitley, Knox, and Pulaski counties. Offers comprehensive health services including 24/7 emergency room, cancer care, birth center, wound care, outpatient rehabilitation, imaging services, and various specialty clinics. Includes CHI Saint Joseph Health Partners Care Management Team providing continuing care coordination."
"Come-Unity Cooperative Care (CCC)","755 South Dixie Street, London, KY 40743","(606) 864-2351","www.facebook.com/p/Come-Unity-Cooperative-Care-100064702059334/","Non-profit Christian organization providing basic needs services to low-income Laurel County residents. Services include food pantry, thrift store with clothing and household items, senior food program (Commodity Supplemental Food Program), clothing vouchers, diaper assistance, emergency assistance for home fire victims, and Christmas gift program for young children. Utility assistance applications also handled. Food pantry open Wednesdays 9:00 am to 3:00 pm (closed for lunch 12:00 pm-12:30 pm). Thrift store open Tuesday-Friday 8:00 am to 4:00 pm and Saturday 9:00 am to 3:00 pm. Most services require Laurel County residency and proof of income. Food pantry can be accessed once every 30 days."
"Daniel Boone Community Action Agency","188 Dog Patch Trading Center, London, KY 40741","(606) 864-9121","www.danielboonecaa.org","Major regional provider of services for low-income families in Clay, Jackson, Laurel, and Rockcastle counties. Programs include: Housing - Provides rent and lodging assistance (from 3 days to 1 month), housing construction for low-income families, and home repair services. Energy Assistance - Manages the Low-Income Home Energy Assistance Program (LIHEAP) for heating and cooling assistance. Weatherization - Offers program to improve energy efficiency in homes by insulating ceilings, walls, and floors, and repairing or replacing heating equipment. Office hours Monday – Friday, 8:00 a.m. – 4:30 p.m."
"First Presbyterian Church","123 Keavy Road, London, KY 40744","(606) 864-6789","www.facebook.com/FirstPresbyterianLondon","Provides community food pantry for residents of Laurel County. Food pantry operates on Thursdays from 11:00 am to 2:00 pm. Must be a resident of Laurel County."
"First United Methodist Church","301 West 5th Street, London, KY 40741","(606) 864-5226","www.londonumc.com","Operates emergency food pantry for those in need in Laurel County. Food pantry open Monday through Thursday, from 10:00 am to 2:00 pm. Serves residents of London and Laurel County."
"God's Pantry Food Bank (Southeast)","1215 E 4th St, London, KY 40741","(606) 862-6693","www.godspantry.org","Regional distribution hub for God's Pantry Food Bank, which serves 50 counties in Central and Eastern Kentucky. Empowers and supplies network of partner food pantries and meal programs rather than providing direct distribution to individuals. Serves as critical logistical link in regional food security chain, supplying many local church pantries. Distribution center operates Monday through Friday, 7:00 am to 3:30 pm. These are operational hours for partner agencies, not for public food pickup."
"Good Samaritan House Homeless Shelter","220 East 4th Street, London, KY 40741","(606) 862-2872","www.goodsamaritanhouseinc.com","Provides shelter for up to 30 individuals. Also functions as emergency warming center during periods of extreme cold weather. Operational partnership with Isaiah 58:10 Ministries, which runs soup kitchen out of same facility, creating centralized hub for both shelter and meals. Shelter open 24/7 for residents. Soup kitchen operates Monday, Tuesday, Thursday, and Saturday from 11 a.m. to 1 p.m. Specific and stringent intake requirements - must be Kentucky resident, pass warrant check, 10-panel drug test, and background check. Clients must be willing and able to work, required to secure employment within seven days of entry or have existing source of income. Serves 'working homeless' population ready to engage in structured programming."
"Hagar's Well Ministries","London, KY (Address not public)","Not listed","www.hagarswellministries.org","Faith-based transitional recovery housing program for women. NARR Level 2 certified facility providing safe, affordable housing and recovery-focused care. Specifically caters to female opioid overdose survivors, pregnant women with opioid use disorder (OUD), women with co-occurring mental health and substance use disorders, and women seeking transitional housing after completing residential treatment or medical detox. Services include rehabilitation programs, workforce development, and community reintegration support in family-like environment. Requires completion of intake screenings and board approval."
"Hart Baptist Church","1 Hart Church Road, London, KY 40743","(606) 864-9366","www.hartbaptistchurch.org","Operates the 'Feed the Need' food pantry for Laurel County residents. Pantry open on third Tuesday of each month at 12:00 noon. Service for Laurel County residents who meet income guidelines. Proof of residency and income required. Current 'Tri Can' card mandatory to receive services."
"House of Hope Ministry","455 London Dock Rd, London, KY 40744","Not listed","www.houseofhopeky.org","Faith-based organization offering refuge, guidance, and transformation to single, homeless women over age 18 who have completed substance abuse treatment program. Two-year transitional housing program where residents are mentored to achieve individual goals, with permanent housing assistance provided upon graduation. Note: Primary location is in Louisville; London address may be smaller affiliated location."
