"Organization","Address","Phone","URL","Description"
"988 Suicide Hotline & Crisis Lifeline call or text 988 or chat","","988","http://988lifeline.org/",""
"Adoption","","800-432-9346","","hotline"
"Adult abuse","","800-752-6200","","hotline"
"Adult and Child Health","","800-462-6122","","hotline"
"alcohol-addict.com","","","http://alcohol-addict.com/","faith based Rehab program"
"Alcohol/Drug hotline","","800-729-6686","","hotline"
"Alcoholics Anonymous","","800-467-8091","","hotline"
"Appalachian Research & Defense Fund of Kentucky","","866-277-5733","","Free legal assistance based on eligibility"
"Battered Women Justice Project","","800-903-0111","","hotline"
"Bluegrass First Steps","","800-454-2764","","hotline"
"Cabinet for Health and Family Service","","855-306-8959","","Food Stamps/Medical Card"
"Ombudsman","","800-372-2973","",""
"Secretary's office","","800-564-7042","",""
"Cancer Information Services","","800-422-6237","","hotline"
"Child Care Assistance","","855-306-8959","http://kynect.ky.gov/",""
"Child Protection Hotline","","877-597-2331","","hotline"
"Child Support Information/Enforcment","","800-248-1163","","hotline"
"Child Support Voice Response","","800-443-1576","","hotline"
"Community Based Services","","800-635-2570","","hotline"
"Community Mental Health Centers","","800-928-8000","","hotline"
"Consumer Product Saftey Commission","","800-638-2772","","hotline"
"Crisis for parents 1-800-Children","","800-432-9251","","hotline"
"Crisis - General","","800-592-3980","","hotline"
"Crisis & Referal lines - other","","","http://dbhdid.ky.gov/documents/dbh/crisis-resources.pdf",""
"Crisis Text Line","","741741","","text or call"
"Cumberland Valley Aging & Disability Resource","","606-877-5763","",""
"Dept of Health and Human Services - Administration for Children & Families","","","http://acf.hhs.gov/","(There's a list of resources on the website available for people in need including but not limited to homelessness, human trafficking, refugees, etc)"
"Department for Housing","","800-669-9777","","hotline"
"Department for Medicaid Services","","800-635-2570","","hotline"
"Domestic Violence Prevention Board","","800-258-3803","","hotline"
"Find Help Now KY","","833-8KY-HELP","","help line"
"Food and Drug Administration","","800-332-4010","","hotline"
"Food for the Poor","","","http://www.foodforthepoor.org/",""
"Food Stamp Case and Changes Reporting","","800-248-5861","","hotline"
"Foster Care Information","","800-232-5437","","hotline"
"Greyhound free ticket home for run a ways","","1-800-786-2929","https://www.1800runaway.org/youth-teens/home-free",""
"HHCK - Homeless & Housing Coalition of KY","","502-223-1834","http://hhck.org/",""
"Home Health Agency Hotline","","800-635-6290","","hotline"
"HomelessShelterdirectory","","","http://homelessshelterdirectory.org/",""
"Horizon Health","","606-657-2030","http://horizonhealthky.org","Offers Job Support such as transportation, clothing, shoes, and other work related needs. They also provide counseling and addiction recovery. Offers Womens housing with IOP, IOP Counceling, and MAT treatment."
"Kentucky Attorney General's Office","","800-372-2551","","hotline"
"Kentucky Domestic Violence Association","","502-209-5382","","hotline"
"Kentucky Voices for Health","","","http://kyvoicesforhealth.org/",""
"KCEOC - Community Action Partnership","","606-546-3152","http://www.kceoc.org/","Has programs availablefor Seniors, Low income energy assistance, Summer Food Service, Weatherization Assistance, Kentucky Housing Corporation, Youth homelessness, Emergency Support, Kentucky Career Center, Child Development, and more. also on FB"
"KEJC - Kentucky Equal Justice Center","","859-788-2927","http://kyequaljustice.org/",""
"KFAN - Kentucky Food Action Network","","","http://www.kyfoodactionnetwork.org/",""
"KHC - Kentucky Housing Corporation Housing Choice Voucher/Section 8 Program","","","http://www.kyhousing.org/Programs/Pages/Kentuckians-In-Need.aspx",""
"KTAP","","859-306-8959","http://www.kynect.ky.gov/","Basic Cash Assistance for families with kids"
"KY Help Statewide call center","","1-833-859-4357","http://operationunite.org/programs/kyhelp-call-center/","Providing personalized ,compassionate assistance and resources for Kentuckians seeking help for a substance use disorder and offering help to their families"
"KY HIV/AIDS Program","","800-420-7431","","hotline"
"kynect health coverage","","606-389-6708","http://gracehealth.org/","help getting health coverage"
"La Red Nacional De Prevencion Del Suicidio","","888-628-9454","http://988lifeline.org/",""
"Long Term Care - Ombudsman","","800-372-2991","","hotline"
"Medicaid Managed Care - Ombudsman","","800-807-4027","","hotline"
"Medicare.gov","","","http://medicare.gov/",""
"Mental Health Counseling","","800-928-8000","","hotline"
"MHA - Mental Health America of Kentucky","","859-684-7778","http://mhaky.org/","(offers Mental Health Screenings, Education, Advocacy network & System navigation"
"Mental Health Screenings available online 24/7","","","http://mhascreening.org/",""
"Mental Health Support for KY Farmers","","","http://raisinghopeky.com/",""
"National Domestic Violence Hotline","","800-779-SAFE (7233)","","hotline"
"National Human Trafficking Hotline","","888-373-7888","","hotline"
"National Lead Information Center","","800-424-5323","","hotline"
"National Maternal Mental Health Line","","833-943-5749","","hotline"
"National Network to End Domestic Violence","","202-543-5566","","hotline"
"National Victim Notificaton Network","","800-511-1670","","hotline"
"National Sexual Assult Hotline","","800-656-4673","","hotline"
"NEMT Non-Emergency Medical Transportation","","","","(helps medicaid beneficiaries get to medical appointments, treatment, or pick up prescriptions)"
"NOSW - New Opportunity School for Women 18 years old and up.","","859-985-7200","http://nosw.org/","Free programs - reimbursement available for childcare and transportation. 2 week Residential Program in Berea that includes lodging, meals, books and other materials. Explore self-esteem, wellness, career, education, arts, culture and community. Gain skills to turn dreams into goals and goals into action. On-line shorter program courses are free; helps to build confidence skills. Meet other women and build connections."
"Operation Unite","350 C.A.P. Dr. London, KY 40744","1-866-678-6483","http://operationunite.org/","Preventing substance misuse and facilitating recovery"
"Pinnacle Treatment Centers","","606-922-2012","http://pinnacletreatment.com/","Admission 24/7 ; Beds for males & females ; Detox & residential; Judy Wells-Hicks Community Relations Coordinator Judy.Hicks@pinnacletreatment.com"
"Poison Control Emergency Information","","800-222-1222","","hotline"
"Pregnancy Crisis Centers","","800-432-9337","","hotline"
"Prevent Child Abuse Kentucky","","800-432-9251","","hotline"
"Rape, Abuse and Incest National Network (RAINN)","","800-656-HOPE (4673)","","hotline"
"Rape Crisis Hotline","","800-422-1060","","hotline"
"Resource Center for Child Protection and Custody","","800-527-3232","","hotline"
"Restorationhealthcare.com","","","http://restorationhealthcare.com/",""
"Recovery Care: Hope for recovery, ARC - Addiction Recovery Care","332 River Bend Rd. Louisa, KY","888-530-7632","http://www.arccenters.com/","(Casey's Law - it allows loved ones to intervene on behalf of their addicted loved ones who refuses treatment, before it's too late) Accepts Wellcare, United Health Care, and Anthem Insurance."
"Serenity Ranch Recovery","6 locations in KY & TN","270-515-0212","http://help.serenityranchrecovery.com/","Kentucky's Leading Detox and Rehab Center"
"SID's Back to Sleep Campaign","","800-505-CRIB (2742)","",""
"SNAP","","855-306-8959","","Supplemental Nutrition Assistance Program"
"SOS (Save Our Souls)- Ministries Mission Field","","937-262-4100 or 855-696-2453","http://www.saveoursoulsministries.org/","FB: SOS ministries trafficking & addiction support group (They will pick up and help victims of trafficking & addiction and get them to safety where they can receive help and support for and during recovery.)"
"S.P.A.R.C. - job training","1442 W. Steve Wariner Dr. Russel Springs, KY 42642","859-396-0260","http://sparcrecovery.com/","Achieving Sobriety, Finding Peace, Building Awareness, Maintaining Recovery"
"Special Needs Adoption","","800-423-9346","","hotline"
"Spouse Abuse Hotline","","800-544-2022","","hotline"
"State Health Insurance Assistance Program","","877-293-7447","",""
"Trevor Project for lgbtq+ young people","","866-488-7386","",""
"Trans Lifeline (US)","","877-565-8860","",""
"VOA (mid states) - Restorative Justice","","502-585-9920","","Provides healing and restoration for victims of crime."
"Volunteers of America (mid-states) Recovery Community Center","48 Owens Rd, Manchester, KY 40962; 75 E Main St. Mt Vernon, KY 40456","606-658-9236, 606-392-4001, 606-687-5707, 606-879-0771","","FB@VOA Recovery Community Center - Manchester, Mt Vernon, Somerset, or Stanford. Strengthen recovery in a safe, supportive and non-judgmental setting. Offers a community resource for education, connections, support and socialization for those in recovery and their families and friends."
"VOA (mid states) Employment Services","","606-765-3566","","Employment services for people in recovery"
"Volunteers of America (mid-states) Freedom House","1025 2nd ST Louisville, KY 40203; 1436 Shelby St. Louisville, KY 40217; 8467 N Hwy 421 Manchester, KY 40962","502-635-4530, 606-658-8050","http://voamid.org/RECOVERY","Find a treatment for substance use disorder WITHOUT leaving your children behind. FB / Instagram / Twitter @VOAMID (Can help you to get on insurance.)"
"Walker House Sober Living","Winchester & Lexington","859-310-3567","","Will provide transport"
"Welfare and Medicaid fraud","","800-372-2970","","hotline"
"Women, Infant and Children (WIC)","","800-462-6122","",""
"Women's Cancer Screening","","800-462-6122","",""
"Winds of Change Counseling Services","1220 Master St. Corbin, KY 40701 ; 105 S Pine St. Pineville, KY 40977","606-515-3582, 606-404-5104, 606-404-5105","http://windsofchangeky.com/","Creates a safe place for the healing process to begin. Offers a range of tailored services and dedicated to providing professional support across a spectrum of needs."
"Combat Vets Association","","931-206-4043","",""
"DAV - Disabled American Veterans","","","http://dav.org/",""
"GPS - (Getting Peace for those who Served)","","606-215-1417","","Services for Veterans - emotional support, readjustment therapy, family/marriage/substance abuse counseling, spiritual guidance, financial management, & job placement services."
"Homeless Veterans Reintegration Program","","606-866-4343 or 606-548-8977","mailto:vivian.taylor@mtcomp.org","Vivian Taylor, Coordinator, 606-548-8977 vivian.taylor@mtcomp.org : Helps homeless or potentially homeless veterans get back on their feet. Veterans must be willing and able to work, and have a discharge other than dishonorable. Mountain Comprehensive Care assists in resume prep, job searching, and other job related resources."
"Housing Voucher Programs in Manchester, KY","","877-424-3838","",""
"KY River Foothills Supportive Services for Veteran Families (SSVF)","","800-372-7601","","POC: Lisa Roark They provide temporary rental assistance to qualifying veterans"
"VFW - Veterans of Foreign Wars","3027 W. Laurel Rd. London, KY 40741","606-862-9336","",""
"VOA - (mid states) Veteran Services","","","http://www.voamid.org/","Moral Injury and Preventing Suicide, Supportive Services for Veteran Families, Homeless Veterans Reintegration Program"
"Beacon of Hope","Winchester, KY","859-644-5171","","Emergency Shelter (random drug testing)"
"Chad's Hope Center","300 Chad McWhorter Ln. Manchester, KY 40962","606-599-9716","",""
"Christian Appalachian Project","Outreach RR4 Mt. Vernon, KY 40456","606-256-4810","",""
"Community Outreach Center","1 Fayette Properties 1-C Manchester, KY 40962","606-598-5127","",""
"Cumberland River Behavioral Health","Manchester, KY","606-598-5172","http://www.crbhky.org/",""
"Cumberland Valley Aging & Disability Resource","","606-877-5763","",""
"Cumberland Valley Child Advocacy Center","","606-878-9116 or 1-877-597-2331","http://cv-cac.org/",""
"Daniel Boone Community Action Agency, Inc.","1535 Shamrock Rd. Manchester, KY 40962","606-598-5127","http://www.homelessassistance.us/ci/ky-manchester","CSBG Homeless Program"
"Dismis Charities Manchester","845 Muddy Gap Rd Manchester, KY 40962","606-598-5555","",""
"Emergency Shelter and Assistance Cumberland Valley Domestic Violence Services","","606-256-9511 or 800-755-5348","http://www.cvdvs.org/","A safe and secure environment with food, clothing, basic necessities, a 20 bed emergency shelter and advocacy center for victims of domestic violence and their children in Cumberland Valley Area Development District"
"Grief Support Group London, KY","","606-312-1513","","Contact Sharon Kidd for more information"
"Homeless and Housing Coalition of KY","","","http://www.hhck.org","housing-programs"
"Housing Authority of Manchester","306 Town Branch Rd Manchester, KY 40962","606-598-3884","http://www.housingauthorityofmanchester.com/",""
"Isaiah 58:10 Ministries and Outreach FB: Isaiah 58:10 Ministries & Outreach","220n E. 4th St London, Ky 40741","502-801-9119","http://is5810.com/","We take sack lunches to the homeless and needy in our community. We also offer blankets, jackets and other cold weather supplies during the colder months, and we offer Resource Guides in case someone has specific needs that we can not provide, but we know where they can have that need met, and we run the Soup Kitchen located at the Good Samaritan House at 220 E. 4th St in London five days a week Mon, Tues, Thurs, Fri, and Sat from 11-1"
"Isaiah House","","859-375-9200","","Addiction Recovery Care"
"Mental Health Services -Cumberland River Comprehensive Care Center","Rt. 9 Box 940 Manchester, KY 40962","606-598-5172","","Community Mental Health Center; mental health assistance and service referrals; Substance abuse services; intellectual or developmental disabilities; Supportive Community Living Programs; childten's services; and First Steps/Early intervention (CBIS). Services provided in all counties in the Cumberland River ADD"
"Mortgage and Credit Counceling - Apprisen","2265 Harrodsburg Rd. Lexington, KY 40504","800-355-2227","http://www.apprisen.com/","Financial Advocates providing HUD-approved counseling when changes in your finances impact home ownership. Offering specific solutions for mortgage delinquency and forclosure prevention, and also provide reverse mortgage counseling. Appointments can be conducted by phone, on-line, or face-to-face. Other locations in Louisville, Elizabethtown, and Florence."
"New Hope Counceling Recovery","","606-594-7479","http://www.nhcr4u.com/","FB@New Hope Counseling RecoveryLLC Inspiring hope and changing lives"
"Red Bird Mission","70 Queendale Center Beverly, KY 40913","606-598-0520","http://www.rbmission.org/","offers food, clothing, household items, furniture and transportation. GED and free tax preparation services. Pre-natal and parenting education and baby pantry. Daycare (24 months - 6 years old), preschool and K-12 school for children. Other Service referrals."
"VOA Recovery - Freedom House Manchester","8467 US-421 Manchester, KY 40962","606-603-2486","",""
"Floyd County Shelter","Martin, KY","606-949-2018","",""
"Oxford House","Frankfort, KY","859-353-8452","","Must work, takes people with children"
"Apprisen","2265 Harrodsburg Rd. Lexington, KY 40504","800-355-2227","http://www.apprisen.com/","Financial Advocates providing HUD-approved counseling when changes in your finances impact home ownership. Offers specific solutions for mortgage delinquency and foreclosure prevention, and also provide reverse mortgage counseling. Appointments can be conducted by phone, on-line or face-to-face. Other locations Louisville, Elizabethtown, and Florence."
"Christian Life Fellowship","165 Black St Barbourville, KY 40906","606-546-9415","","Food assistance"
"Church of the Nazarene Basket Ministry Project","409 Master St. Corbin, KY 40701","606-528-5935","",""
"Corbin Presbyterian Church","601 Master Ct. Corbin, KY 40701","606-528-1444","","Food assistance."
"Corbin United Effort","311 Barbourville St. Corbin, KY 40701","606-528-7523","","services provided: food pantry, meals, help finding housing, clothing, help finding healthcare, navigating the system"
"Court Appointed Special Advocate","","606-389-5968","",""
"Cumberland River Behavioral Health Inc","Barbourville","606-546-3104","http://www.crbhky.org/",""
"Capers office","Corbin","606-526-9459","http://www.crbhky.org/",""
"Cumberland River Comprehensive Care Center","American Greeting Card Rd. P.O. Box 568 Corbin, KY 40701","606-528-7010","","Community Mental Health Center; mental health assistance and service referrals; Substance abuse services; Intellectual or developmental disabilities services; Supportive Community Living Programs; Children's services and First Steps/Early Intervention (CBIS) services provided in all counties in the Cumberland River ADD"
"Cumberland Valley Domestic Violence Services","P.O. Box 2162 London, KY 40456","606-256-9511 or 800-755-5348","http://www.cvdvs.org/","A safe secure environment with food, clothing, basic necessities, a 20-bed emergency shelter and advocacy center for victims of doestic violence and their children in Cumberland Valley Area Development District."
"Emergency Fund Services, Inc.","P.O. Box 8 Barbourville, KY 40906","606-546-3152","","Emergency assistance; food"
"The Everlasting Arm, Inc","2006 S. Main St. Corbin, KY 40701","606-528-3669","mailto:theeverlastingarminc@gmail.com","16-bed emergency shelter for up to 90 days. Food and clothing bank."
"First Baptist Church","201 N. Main St Barbourvile, KY","606-546-3636","","Food Assistance"
"First United Methodist Church","312 N. Main St Barbourville, KY","606-546-3695","","Food Assistance"
"Housing Authority of Corbin","1336 Madison Ave Corbin, KY 40701","606-528-5104","http://www.affordablehousing.com/",""
"Isaiah 58:10 Ministries and Outreach FB: Isaiah 58:10 Ministries & Outreach","220n E. 4th St London, Ky 40741","502-801-9119","http://is5810.com/","We take sack lunches to the homeless and needy in our community. We also offer blankets, jackets and other cold weather supplies during the colder months, and we offer Resource Guides in case someone has specific needs that we can not provide, but we know where they can have that need met, and we run the Soup Kitchen located at the Good Samaritan House at 220 E. 4th St in London five days a week Mon, Tues, Thurs, Fri, and Sat from 11-1"
